ar,sveitarfelag,hluti,heildarskuldir,eignir,tekjur,gjold,afskriftir,fjarmagnslidir,eigid_fe,veltufjarmunir,skammtimakrofur_eigin_fyrirtaeki,skammtimaskuldir,veltufe,mannfjoldi,nettoskuldir,skuldir_hlutf_tekjur,nettoskuldir_hlutf_tekjur,veltufjarhlutfall,eignahlutf,rekstrarnidurstada,rekstrarnidurstada_hlutf,framlegd,framlegd_hlutf,eiginfjarhlutfall,skuldahlutfall,skuldir_per_ibui,veltufe_hlutf_tekjur
2020,Reykjavíkurborg,A og B-hluti,385842474400.00006,730430514500.0001,190919430899.99997,178384368399.99997,20608120700,-17133907999.999996,344588040100,68926058200.00002,0,55381952100.00001,26964675800,131136,316916416200.00006,2.0209701683119783,1.6599484646798206,1.2445581202255962,1.8930795932610782,-4598845499.999996,-0.02408788606964152,16009275200.000004,0.08385356652558515,0.4717601924611269,0.5282398075388731,2942307.7903855545,0.14123589030664768
2020,Kópavogsbær,A og B-hluti,47866418000,79043449000,35802785000,33485334000,1582452000,-1992008000,31177031000,5449072000,0,8510280000,3285357000,37959,42417346000,1.3369467766264551,1.1847499014392315,0.6402929163317775,1.651334114869427,325443000,0.009089879460494483,1907895000,0.053289010896778004,0.39442903105101096,0.605570968948989,1261003.1349614058,0.09176261008745548
2020,Seltjarnarnesbær,A og B-hluti,5451021400,9679672000,4754116100,4867451000,191714500,-105275599.99999999,4228650500,670425500,0,1087036500,253263000,4726,4780595900,1.1465898781899753,1.0055698681822263,0.6167460798234465,1.7757538064334144,-218610500,-0.045983416349466094,-26896000,-0.005657413372803411,0.43685886257302936,0.5631411374269706,1153411.2145577655,0.05327236328957133
2020,Garðabær,A og B-hluti,18155581000,37203936000,18110536000,16682116000,1053130000,-654843000,19048355000,1966745000,0,3676276000,2605388000,16924,16188836000,1.0024872262201405,0.8938904955656751,0.5349829555778728,2.049173529616045,773577000,0.04271419686308566,1826707000,0.10086432560582415,0.5119983810315124,0.4880016189684876,1072771.2715670054,0.1438603473690674
2020,Hafnarfjarðarkaupstaður,A og B-hluti,50000430000,66914880000,30983324000,29456896000,1119095000,-2606659000,16914450000,8969059000,0,7574847000,1614233000,29971,41031371000,1.6137852091015155,1.3243050035561066,1.1840581070482348,1.3382860907396197,-1080231000,-0.034864916365978035,38864000,0.0012543521799016787,0.25277561582715236,0.7472243841728476,1668293.6838944312,0.05210005872836627
2020,Mosfellsbær,A og B-hluti,16826973000,23709408000,13007476000,12843974000,474644000,-687397000,6882435000,1640560000,0,2893303000,494791000,12073,15186413000,1.2936385967577415,1.1675142049080083,0.5670197694468917,1.4090120665196288,-523895000,-0.04027645332576435,-49251000,-0.003786361012697621,0.29028286998983693,0.709717130010163,1393768.9886523648,0.03803897081955023
2019,Reykjavíkurborg,A og B-hluti,345022394770,688914922100,185211459630,164797043100,18988531200,-12857633600,343892527400,56002511500,0,49052897269.99999,36167658300.00001,128793,289019883270,1.862856625930474,1.5604859647852234,1.1416759175660411,1.9967252344858566,7556782930,0.04080083891729114,26545314130,0.143324361154704,0.4991799660133969,0.5008200339866031,2678890.89290567,0.19527764843629405
2019,Kópavogsbær,A og B-hluti,45515028000,75827791000,34438616000,31104593000,1491506000,-1697125000,30312763000,4646009000,0,8485804000,3848463000,36975,40869019000,1.3216276751655758,1.1867207149091008,0.5475036896916309,1.6659946029254338,1636898000,0.04753088800084185,3128404000,0.09084000355879575,0.3997579594531509,0.6002420405468492,1230967.626774848,0.11174848025251653
2019,Seltjarnarnesbær,A og B-hluti,5060924600.000001,9475769900,4714417200,4600151400,184023400,-97840700,4414845000,583389500,0,797696200,385533000,4664,4477535100.000001,1.0734995197285468,0.9497536832336351,0.7313429598887397,1.87233967089729,16425100,0.003484014948867911,200448500,0.04251819291682544,0.46590884398744215,0.5340911560125579,1085103.9022298458,0.08177744642540334
2019,Garðabær,A og B-hluti,16471607000,34243706000,15859484000,14835615000,988680000,-511099000,17772099000,1958481000,0,4059664000,1979063000,16299,14513126000,1.0385966529554178,0.9151070741015281,0.48242440753717547,2.0789535592975232,512770000,0.03233207335118848,1501450000,0.09467205868740748,0.51898877417064615,0.48101122582935385,1010590.0361985398,0.12478735121520977
