ar,sveitarfelag,heildarskuldir,eignir,tekjur,gjold,afskriftir,eigid_fe,veltufjarmunir,skammtimaskuldir,veltufe,skuldahlutf,veltufjarhlutf,eignahlutf,rekstrarnidurstada,rekstrarnidurstada_hlutf,framlegd,framlegd_hlutf,mannfjoldi
2017,Hafnarfjarðarkaupstaður,40186985000,51173023000,25272875000,22591335000,922673000,10986038000,4225301000,4958692000,3645803000,1.5901232052150773,0.8520999086049305,1.2733730335828877,2681540000,0.10610348051023083,3604213000,0.14261191099152748,28701
2017,Mosfellsbær,11792096000,17386493000,10015847000,9095099000,332672000,5594397000,1928905000,2198522000,1235853000,1.1773438631800186,0.8773644293757351,1.4744192211460965,920748000,0.09192911992365697,1253420000,0.12514368480269317,9446
2016,Reykjavíkurborg,290465343000,535478244000,155556437000,134733271000,16256624000,245012901000,51333091000,45276303000,34252304000,1.8672666242670497,1.1337739081744374,1.8435185363921367,20823166000,0.13386245147798032,37079790000,0.23836872787205843,121518
2016,Kópavogsbær,43999280000,61293192000,28122722000,25102614000,1504618000,17293912000,4571043000,7182807000,3600624000,1.5645455656817289,0.6363867217927476,1.3930498862708662,3020108000,0.10739031591607669,4524726000,0.16089217821802598,34123
2016,Seltjarnarnesbær,1841755000,6411176000,3650129000,3612776000,123206000,4569421000,1217807000,359217000,350780000,0.5045725781198418,3.3901708438075033,3.481014575771479,37353000,0.010233336958775978,160559000,0.04398721250673606,4415
2016,Garðabær,11041005000,25005958000,14038116000,12029037000,766565000,13964953000,1797874000,2245886000,2881311000,0.7865019066661082,0.8005188152916043,2.264826254494043,2009079000,0.14311599932640534,2775644000,0.1977219735183838,12172
2016,Hafnarfjarðarkaupstaður,39157239000,48302096000,23091904000,20934776000,892018000,9144857000,2945874000,3698196000,3634392000,1.6957128784183408,0.796570544124757,1.2335419256704998,2157128000,0.09341490420192289,3049146000,0.13204394059493751,28187
2016,Mosfellsbær,11235660000,15916990000,9105221000,8127379000,336001000,4681330000,1333885000,1800524000,1109478000,1.2339799330515975,0.7408315579242487,1.4166493112109124,977842000,0.10739354926146219,1313843000,0.14429556405055957,9134
2015,Reykjavíkurborg,301552737000,525559866000,143927235000,139327679000,16250941000,224007129000,44434501000,47431369000,31137782000,2.0951749472572025,0.9368167509565242,1.7428456170835551,4599556000,0.03195750964020117,20850497000,0.14486832182943,120905
2015,Kópavogsbær,42346268000,58346620000,24598679000,22431312000,1393812000,16000352000,2743614000,4978017000,2338564000,1.7214854504991914,0.5511459683645115,1.3778456226650244,2167367000,0.08810908097951113,3561179000,0.14477114807669145,33178
2015,Seltjarnarnesbær,1753402000,6216054000,3301475000,3444439000,116018000,4462652000,1242109000,384191000,188276000,0.531096555327543,3.233050748195559,3.5451391067193945,-142964000,-0.043303069082758466,-26946000,-0.008161806465292028,4411
2015,Garðabær,11862906000,23757177000,11701223000,11155305000,732132000,11894271000,1261154000,2380091000,1262172000,1.0138176154748952,0.5298763786762775,2.0026439558738813,545918000,0.04665478129935648,1278050000,0.10922362559879424,11866
2015,Hafnarfjarðarkaupstaður,40183843000,48480026000,20672661000,19689483000,876672000,8296183000,2504625000,4090196000,953471000,1.943815699391578,0.6123484057976684,1.2064556891684053,983178000,0.04755933452398799,1859850000,0.08996664725455518,27873
2015,Mosfellsbær,11225363000,15372752000,8227098000,7672944000,347116000,4147389000,1022420000,2149054000,688663000,1.3644377397716667,0.4757535175942531,1.3694659139308012,554154000,0.06735716530907983,901270000,0.10954895638778096,8951
2014,Reykjavíkurborg,287144546000,504396465000,133058189000,117489647000,14298655000,217251919000,39179807000,41982805000,26235565000,2.1580373831782724,0.9332346183157605,1.7565942729067192,15568542000,0.11700551553425997,29867197000,0.22446718405283572,120340
2014,Kópavogsbær,42176350000,58358253000,22717874000,20287722000,1395396000,16181903000,2031507000,5699757000,2651529000,1.8565271556660627,0.3564199315865571,1.3836724372782376,2430152000,0.10697092518428442,3825548000,0.16839375022504308,32283
2014,Seltjarnarnesbær,1538513000,6090914000,3227540000,2999535000,118961000,4552401000,1261185000,303401000,471013000,0.47668286063069704,4.1568254554203845,3.958961672732047,228005000,0.07064358613681007,346966000,0.10750168859255037,4381
2014,Garðabær,10020547000,21550669000,10724572000,9946538000,647487000,11530122000,1186974000,1880918000,1392683000,0.9343540236384259,0.631061003190995,2.1506479636291314,778034000,0.07254685781399947,1425521000,0.1329210154027592,11651
2014,Hafnarfjarðarkaupstaður,39765846000,48197839000,19647527000,18013036000,865003000,8431993000,2127071000,9146329000,1592709000,2.023961896069668,0.23256007956853508,1.2120410816860276,1634491000,0.08319067330967404,2499494000,0.12721672300030432,27355
2014,Mosfellsbær,10727849000,14847452000,7446593000,7134925000,338266000,4119603000,772556000,2141309000,467873000,1.4406385577941483,0.36078678976271056,1.3840101589796798,311668000,0.04185377124813992,649934000,0.08727937729375031,8723
2013,Reykjavíkurborg,286331668000,478350067000,129579589000,106000567000,13912993000,192018399000,38717901000,42244727000,29440185000,2.209697300398136,0.9165144090054127,1.6706153054645705,23579022000,0.1819655563192132,37492015000,0.28933580735465986,118920
2013,Kópavogsbær,42570651000,58152607000,21817998000,18292458000,1394353000,15581956000,2173527000,5590732000,2827742000,1.9511712761180013,0.38877324114266254,1.3660257861689735,3525540000,0.16158861138405092,4919893000,0.22549699564552164,31703
2013,Seltjarnarnesbær,1699475000,5763794000,3069434000,2732283000,117540000,4064319000,832362000,466957000,537206000,0.5536769971271577,1.7825238726478028,3.3915144382824107,337151000,0.10984142353280768,454691000,0.14813512849600285,4322
2013,Garðabær,9797713000,20561337000,9950092000,8897508000,597441000,10763624000,1402017000,1789894000,1576061000,0.9846856692380331,0.7832961058029134,2.0985853535411785,1052584000,0.10578635855829273,1650025000,0.16583012498778907,11409
2013,Hafnarfjarðarkaupstaður,40437520000,48483141000,18691269000,16512111000,855441000,8045621000,2577991000,5289788000,2432145000,2.163444333287376,0.48735242319730016,1.1989642539898588,2179158000,0.1165869476277935,3034599000,0.16235382413040014,26805
2013,Mosfellsbær,9732383000,13683890000,6828154000,6279063000,318267000,3951507000,817768000,1762246000,701083000,1.4253315024822228,0.4640487196452709,1.406016388791933,549091000,0.08041573168970706,867358000,0.12702671908102833,8626
2012,Reykjavíkurborg,322938901000,470869140000,120313157000,103302837000,15640780000,147930239000,41951150000,48290585000,29445119000,2.6841528312651626,0.8687231682946065,1.4580750059590994,17010320000,0.14138370585687482,32651100000,0.2713842842641059,117984
2012,Kópavogsbær,44608160000,59458152000,20575935000,17102037000,1360869000,14849992000,3446892000,10242672000,2777110000,2.167977299695008,0.3365227354737123,1.3328985548832322,3473898000,0.16883305667518875,4834767000,0.23497192229660524,31182
2012,Seltjarnarnesbær,1817325000,5491507000,2861577000,2579239000,107215000,3674182000,746673000,625157000,417878000,0.6350781404798822,1.1943767725547343,3.0217528510310485,282338000,0.0986651765792079,389553000,0.1361322795088163,4313
2012,Garðabær,6613697000,16802462000,7316031000,6532661000,425526000,10188765000,1357902000,1649209000,1221468000,0.9040006801502072,0.8233656255817182,2.5405551539479356,783370000,0.10707581747534968,1208896000,0.16523932170325686,11247
2012,Hafnarfjarðarkaupstaður,41836332000,48204173000,16870988000,15026672000,863221000,6367841000,2552195000,5176996000,2018536000,2.4797796074539322,0.4929876322098761,1.1522083962810123,1844316000,0.10931879033996113,2707537000,0.16048479199914079,26482
2012,Mosfellsbær,8897266000,12818073000,6212512000,5600738000,294124000,3920807000,932860000,1395503000,676451000,1.432152726626524,0.6684758112307891,1.4406754839070788,611774000,0.09847449791646277,905898000,0.14581830988817407,8523
2011,Reykjavíkurborg,318169687000,464700168000,108868422000,97409057000,13906042000,146530481000,31630738000,34676314000,26261714000,2.9225158329198524,0.9121712878710234,1.4605419277418468,11459365000,0.10525885090903586,25365407000,0.23299140865658916,118021
2011,Kópavogsbær,44469149000,58647476000,18235191000,16127363000,1380867000,14178327000,2944380000,3780752000,2626192000,2.438644541754457,0.7787815757288498,1.3188351321946818,2107828000,0.11559122139164871,3488695000,0.19131661412265985,30757
2011,Seltjarnarnesbær,1848687000,5270317000,2621939000,2474084000,101210000,3421630000,752817000,681837000,291126000,0.7050839092747772,1.1041011268089,2.850843328264871,147855000,0.05639147211281422,249065000,0.09499267526818893,4320
2011,Garðabær,6468426000,15596488000,6714530000,5861346000,386193000,9128062000,1986982000,1370251000,1181139000,0.9633475462914008,1.450086152099141,2.4111720532939542,853184000,0.1270653344314494,1239377000,0.18458134821052255,10877
2011,Hafnarfjarðarkaupstaður,39021722000,46985360000,15612217000,13839139000,868262000,7963638000,2557004000,4594269000,1894926000,2.4994350257878173,0.5565638407328782,1.2040821776137915,1773078000,0.11356990490203922,2641340000,0.16918417160099683,26095
2011,Mosfellsbær,8369468000,12032891000,5633491000,5073935000,286133000,3663423000,902185000,1222979000,676588000,1.485662797721697,0.737694596554806,1.4377127674064827,559556000,0.09932668748383551,845689000,0.1501181061618808,8304
2010,Reykjavíkurborg,313329007000,452643575000,95306368000,87951203000,12784971000,139314567000,35617934000,34056645000,18070784000,3.287597812981395,1.0458438874410558,1.4446271008671725,7355165000,0.07717390930268164,20140136000,0.21131994034228646,117465
